verse,lemma,size_lemma,lemma_pos,pos,size_pos
Ps_21_21,"['ῥύομαι', 'ἀπό', 'ῥομφαία', 'ὁ', 'ψυχή', 'μου', 'καί', 'ἐκ', 'χείρ', 'κύων', 'ὁ', 'μονογενής', 'μου']",13,"['σύ', 'δές', 'κύριος', 'μή', 'μακρύνω', 'ὁ', 'βοήθειάν', 'ἐγώ', 'εἰς', 'ὁ', 'ἀντίλημψίν', 'ἐγώ', 'πρόσχες']","['PRON', 'VERB', 'VERB', 'CCONJ', 'VERB', 'DET', 'VERB', 'PRON', 'ADP', 'DET', 'ADJ', 'PRON', 'ADP']",13
Ps_21_22,"['σώζω', 'μέ', 'ἐκ', 'στόμα', 'λέων', 'καί', 'ἀπό', 'κέρας', 'μονόκερως', 'ὁ', 'ταπείνωσις', 'μου']",12,"['ῥύομαι', 'ἀπό', 'ῥομϕαίας', 'ὁ', 'ψυχή', 'ἐγώ', 'καί', 'ἐκ', 'χείρ', 'κύων', 'ὁ', 'μονογενής', 'μου·', 'σῶσόν', 'ἐγώ', 'ἐκ', 'στόμας', 'λέω', 'καί', 'ἀπό', 'κεράτων', 'μονοκερώτων']","['VERB', 'ADP', 'NOUN', 'DET', 'NOUN', 'PRON', 'CCONJ', 'ADP', 'NOUN', 'NOUN', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PRON', 'ADP', 'NOUN', 'NOUN', 'CCONJ', 'ADP', 'NOUN', 'VERB']",22
Ps_21_23,"['διηγέομαι', 'ὁ', 'ὄνομα', 'σοῦ', 'ὁ', 'ἀδελφός', 'μου', 'ἐν', 'μέσος', 'ἐκκλησία', 'ὑμνέω', 'σέ']",12,"['ὁ', 'ταπείνωσίν', 'ἐγώ']","['DET', 'NOUN', 'PRON']",3
Ps_21_24,"['ὁ', 'φοβέω', 'κύριος', 'αἰνέω', 'αὐτός', 'ἅπας', 'ὁ', 'σπέρμα', 'Ἰακώβ', 'δοξάζω', 'αὐτός', 'φοβέω', 'αὐτός', 'ἅπας', 'ὁ', 'σπέρμα', 'Ἰσραήλ']",17,"['διηγήσω', 'ὁ', 'ὄνομά', 'σύ', 'ὁ', 'ἀδελϕός', 'ἐγώ', 'ἐν', 'μέσῳ', 'ἐκκλησίας', 'ὑμνήσω', 'σύ', 'ὁ', 'ϕοβούμενοι', 'κύριος', 'αἰνέω', 'αὐτόν', 'ἅπας', 'ὁ', 'σπέρμα', 'Ιακωβ', 'δοξάω', 'αὐτόν']","['VERB', 'DET', 'VERB', 'PRON', 'DET', 'NOUN', 'PRON', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'PRON', 'DET', 'VERB', 'ADJ', 'VERB', 'ADJ', 'ADJ', 'DET', 'NOUN', 'NOUN', 'VERB', 'NOUN']",23
Ps_21_25,"['ὅτι', 'οὐ', 'ἐξουδενόω', 'οὐδέ', 'προσοχθίζω', 'ὁ', 'δέησις', 'ὁ', 'πτωχός', 'οὐδέ', 'ἀποστρέφω', 'ὁ', 'πρόσωπον', 'αὐτός', 'ἀπό', 'ἐμοῦ', 'καί', 'ἐν', 'ὁ', 'κράζω', 'μέ', 'πρός', 'αὐτός', 'εἰσακούω', 'μου']",25,"['ϕοβηθήτωσαν', 'αὐτός', 'ἅπας', 'ὁ', 'σπέρμα', 'Ισραηλ']","['VERB', 'PRON', 'ADJ', 'DET', 'NOUN', 'NOUN']",6
Ps_21_26,"['παρά', 'σοῦ', 'ὁ', 'ἔπαινος', 'μου', 'ἐν', 'ἐκκλησία', 'μέγας', 'ὁ', 'εὐχή', 'μου', 'ἀποδίδωμι', 'ἐνώπιος', 'ὁ', 'φοβέω', 'αὐτός']",16,"['ὅτι', 'οὐ', 'ἐξουδένωσεν', 'οὐδέ', 'προσώχθισεν', 'ὁ', 'δεήσει', 'ὁ', 'πτωχοῦ', 'οὐδέ', 'ἀπέστρεψεν', 'ὁ', 'πρόσωπος', 'αὐτός', 'ἀπ', 'ά', 'ἐγώ', 'καί', 'ἐν', 'ὁ', 'κεκραγέναι', 'ἐγώ', 'πρός', 'αὐτός', 'εἰσήκουσέν', 'ἐγώ']","['SCONJ', 'ADV', 'VERB', 'CCONJ', 'VERB', 'DET', 'NOUN', 'DET', 'ADV', 'CCONJ', 'VERB', 'DET', 'VERB', 'PRON', 'ADP', 'ADP', 'PRON', 'CCONJ', 'ADP', 'DET', 'VERB', 'PRON', 'ADP', 'ADJ', 'VERB', 'PRON']",26
Ps_21_27,"['φάγω', 'πένης', 'καί', 'ἐμπίπλημι', 'καί', 'αἰνέω', 'κύριος', 'ὁ', 'ἐκζητέω', 'αὐτός', 'ζάω', 'ὁ', 'καρδία', 'αὐτός', 'εἰς', 'αἰών', 'αἰών']",17,"['παρά', 'σύ', 'ὁ', 'ἔπαινός', 'ἐγώ', 'ἐν', 'ἐκκλησίᾳ', 'μεγάλῃ', 'ὁ', 'εὐχάς', 'ἐγώ', 'ἀποδώσω', 'ἐνώπιος', 'ὁ', 'ϕοβέω', 'αὐτό']","['ADP', 'PRON', 'DET', 'VERB', 'PRON', 'ADP', 'ADJ', 'ADJ', 'DET', 'NOUN', 'PRON', 'ADJ', 'ADJ', 'DET', 'VERB', 'NOUN']",16
Ps_21_28,"['μιμνήσκω', 'καί', 'ἐπιστρέφω', 'πρός', 'κύριος', 'πᾶς', 'ὁ', 'πέρας', 'ὁ', 'γῆ', 'καί', 'προσκυνέω', 'ἐνώπιος', 'σοῦ', 'πᾶς', 'ὁ', 'πατριά', 'ὁ', 'ἔθνος']",19,"['ϕάγω', 'πένητες', 'καί', 'ἐμπλησθήσονται', 'καί', 'αἰνέσους', 'κύριος', 'ὁ', 'ἐκζητοῦντες', 'αὐτόν·', 'ζήσω', 'ὁ', 'καρδίαι', 'αὐτός', 'εἰς', 'αἰών', 'αἰών']","['VERB', 'VERB', 'CCONJ', 'VERB', 'CCONJ', 'NOUN', 'NOUN', 'DET', 'VERB', 'ADJ', 'VERB', 'DET', 'NOUN', 'PRON', 'ADP', 'NOUN', 'NOUN']",17
Ps_21_29,"['ὅτι', 'ὁ', 'κύριος', 'ὁ', 'βασιλεία', 'καί', 'αὐτός', 'δεσπόζω', 'ὁ', 'ἔθνος']",10,"['μνησθήσω', 'καί', 'ἐπιστραϕήσονται', 'πρός', 'κύριος', 'πάντα', 'ὁ', 'πέρα', 'ὁ', 'γῆ', 'καί', 'προσκυνήσω', 'ἐνώπιόν', 'σύ', 'πᾶς', 'ὁ', 'πατριά', 'ὁ', 'ἔθνος']","['VERB', 'CCONJ', 'VERB', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'PRON', 'DET', 'DET', 'NOUN', 'DET', 'NOUN']",19
Ps_21_3,"['ὁ', 'θεός', 'μου', 'κράζω', 'ἡμέρα', 'καί', 'οὐ', 'εἰσακούω', 'καί', 'νύξ', 'καί', 'οὐ', 'εἰς', 'ἄνοια', 'ἐμοί']",15,"['‘', 'Ο', 'θεός', 'ὁ', 'θεός', 'ἐγώ', 'πρόσχες', 'μοι·', 'ἵνα', 'τί', 'ἐγκατέλιπές', 'ἐγώ', 'μακράν', 'ἀπό', 'ὁ', 'σωτηρίας', 'ἐγώ', 'ὁ', 'λόγος', 'ὁ', 'παραπτωμάτων', 'ἐγώ']","['ADJ', 'DET', 'NOUN', 'DET', 'NUM', 'PRON', 'NOUN', 'NOUN', 'SCONJ', 'PRON', 'VERB', 'PRON', 'ADV', 'ADP', 'DET', 'NOUN', 'PRON', 'DET', 'NOUN', 'DET', 'NOUN', 'PRON']",22
Ps_21_30,"['φάγω', 'καί', 'προσκυνέω', 'πᾶς', 'ὁ', 'πίων', 'ὁ', 'γῆ', 'ἐνώπιος', 'αὐτός', 'προπίπτω', 'πᾶς', 'ὁ', 'καταβαίνω', 'εἰς', 'ὁ', 'γῆ', 'καί', 'ὁ', 'ψυχή', 'μου', 'αὐτός', 'ζάω']",23,"['ὅτι', 'ὁ', 'κυρίου', 'ὁ', 'βασιλεία', 'καί', 'αὐτός', 'δεσπόζω', 'ὁ', 'ἔθνος', 'ἔϕαγον', 'καί', 'προσεκύνησαν', 'πάντες', 'ὁ', 'πίονες', 'ὁ', 'γῆ', 'ἐνώπιος', 'αὐτός', 'προπεσέω', 'πάντες', 'ὁ', 'καταβαίνω', 'εἰς', 'ὁ', 'γῆ']","['SCONJ', 'PRON', 'ADJ', 'DET', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'CCONJ', 'VERB', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'ADJ', 'PRON', 'VERB', 'VERB', 'DET', 'VERB', 'ADP', 'DET', 'NOUN']",27
Ps_21_31,"['καί', 'ὁ', 'σπέρμα', 'μου', 'δουλεύω', 'αὐτός', 'ἀναγγέλλω', 'ὁ', 'κύριος', 'γενεά', 'ὁ', 'ἔρχομαι']",12,"['καί', 'ὁ', 'ψυχή', 'ἐγώ', 'αὐτός', 'ζῶ', 'καί', 'ὁ', 'σπέρμα', 'ἐγώ', 'δουλεύζω', 'αὐτῷ·']","['CCONJ', 'DET', 'NOUN', 'PRON', 'ADJ', 'VERB', 'CCONJ', 'DET', 'NOUN', 'PRON', 'VERB', 'ADJ']",12
Ps_21_32,"['καί', 'ἀναγγέλλω', 'ὁ', 'δικαιοσύνη', 'αὐτός', 'λαός', 'ὁ', 'τίκτω', 'ὅτι', 'ποιέω', 'ὁ', 'κύριος']",12,"['ἀναγγελήσω', 'ὁ', 'κυρίῳ', 'γενεά', 'ὁ', 'ἐρχομένης']","['VERB', 'PRON', 'VERB', 'NOUN', 'DET', 'NOUN']",6
